loan_id,age,annual_income,employment_type,years_employed,loan_amount,loan_term_months,interest_rate,loan_purpose,credit_score,num_credit_lines,debt_to_income_ratio,has_collateral,num_late_payments,region,default
LN000001,60.0,29285.67,full_time,9.0,47400.0,36,8.45,home,746.0,7,0.4086,1,2.0,North,0
LN000002,50.0,65738.0,full_time,0.7,5100.0,48,14.12,Auto,583.0,3,0.3615,0,1.0,South,1
LN000003,36.0,43171.24,full_time,1.3,17300.0,48,7.4,car,685.0,5,0.3416,1,0.0,North,0
LN000004,64.0,,unemployed ,4.1,26300.0,12,4.82,home,628.0,1,0.493,0,0.0,South,0
LN000005,29.0,145960.37,Full Time,1.8,7400.0,60,16.54,Personal,767.0,3,0.6111,0,1.0,South,0
LN000006,42.0,38742.54,FULL TIME,0.2,4200.0,48,10.59,HOME,840.0,7,0.0504,0,0.0,West,0
LN000007,60.0,35302.7,SELF_EMPLOYED,1.7,8400.0,36,3.38,personal,709.0,2,0.5862,1,0.0,North,0
LN000008,40.0,,self_employed,11.8,9700.0,36,8.77,Car,609.0,1,0.4416,1,2.0,East,0
LN000009,44.0,25611.53,full_time,1.0,27900.0,48,11.26,Personal,557.0,1,0.3156,0,4.0,West,1
LN000010,32.0,129298.54,full_time,7.2,11900.0,48,21.47%,education,670.0,9,0.344,0,1.0,North,0
LN000011,32.0,116729.38,part_time,6.4,13400.0,24,3.0,personal,638.0,3,0.2902,1,1.0,North,0
LN000012,45.0,26917.4,SELF_EMPLOYED,0.6,4300.0,36,15.45%,Personal,535.0,3,0.4229,0,1.0,East,1
LN000013,57.0,18960.73,parttime,2.0,11400.0,60,9.88%,PERSONAL,656.0,3,0.2701,0,1.0,East,0
LN000014,61.0,24432.11,part_time,1.0,42200.0,48,11.82,PERSONAL,819.0,2,0.2428,0,0.0,North,0
LN000015,45.0,24656.07,full_time,0.1,32100.0,60,9.04,home improvement,714.0,6,0.4768,0,3.0,East,1
LN000016,24.0,79304.99,full_time,0.9,8900.0,48,16.01,Home,557.0,3,0.7965,1,1.0,South,1
LN000017,43.0,124181.84,part_time,1.1,26000.0,36,13.01,educat,649.0,6,0.528,0,0.0,East,1
LN000018,23.0,78753.32,part_time,0.9,11900.0,36,8.42,personal,680.0,3,0.4138,1,3.0,North,0
LN000019,45.0,42543.6,full_time,0.5,20000.0,48,15.6,home,689.0,8,0.3597,0,0.0,South,0
LN000020,65.0,60204.3,full_time,3.7,10600.0,48,17.73,home,519.0,4,0.177,1,0.0,North,1
LN000021,51.0,29089.52,full_time,1.9,6200.0,48,16.59,personal,641.0,5,0.3973,1,2.0,West,1
LN000022,59.0,94686.32,fulltime,11.9,5900.0,60,21.64,home,671.0,3,0.3833,1,0.0,South,0
LN000023,23.0,63526.81,full_time,1.0,20400.0,36,16.41,personal,635.0,3,0.3293,0,0.0,North,0
LN000024,42.0,77957.47,full_time,,1600.0,48,12.5,car,496.0,5,0.2855,1,1.0,South,0
LN000025,54.0,31681.2,self_employed,11.5,31300.0,36,9.66,personal,638.0,0,0.2581,0,0.0,North,0
LN000026,33.0,44304.51,part_time,0.2,11000.0,60,15.72,Education,713.0,6,0.3138,1,2.0,East,0
LN000027,43.0,75738.65,full_time,3.6,8000.0,36,9.35,personal,604.0,7,0.3878,1,1.0,South,0
LN000028,65.0,116553.74,self_employed,3.0,29700.0,60,16.88%,education,612.0,4,0.2635,0,0.0,North,0
LN000029,46.0,34034.85,unemployed ,13.2,1500.0,36,11.23,EDUCATION,762.0,6,0.3158,1,4.0,West,0
LN000030,48.0,78297.51,full_time,5.4,19300.0,12,13.5,car,634.0,7,0.293,1,1.0,West,0
LN000031,63.0,31976.51,FULL TIME,2.1,49600.0,36,7.31,car,659.0,2,0.2579,0,2.0,North,0
LN000032,49.0,174611.06,full_time,6.2,4500.0,48,10.99,PERSONAL,501.0,3,0.5723,1,1.0,West,0
LN000033,37.0,38219.65,part_time,4.4,9300.0,48,8.07,Bussiness,566.0,3,0.258,0,2.0,East,1
LN000034,36.0,72121.18,unemployed,2.1,19200.0,48,18.75,Eduaction,825.0,4,0.1389,1,1.0,West,0
LN000035,65.0,54142.01,full_time,7.7,3800.0,12,10.86,car,782.0,4,0.16,0,1.0,West,1
LN000036,24.0,234024.68,full_time,5.5,16300.0,60,11.73%,HOME,688.0,4,0.2552,1,2.0,West,0
LN000037,58.0,56271.36,unemployed,0.0,114700.0,24,7.71,EDUCATION,467.0,1,0.3661,1,1.0,East,0
LN000038,28.0,,UNEMPLOYED,10.0,17400.0,36,5.88,car,543.0,5,0.33,0,4.0,West,1
LN000039,42.0,71948.36,self_employed,2.5,16900.0,36,8.52,PERSONAL,541.0,5,0.1658,1,1.0,North,0
LN000040,30.0,70993.57,full_time,5.2,5100.0,60,8.56,personal,540.0,6,0.4826,1,1.0,East,0
LN000041,60.0,44601.29,full_time,2.5,38700.0,48,8.47,home,619.0,4,0.3748,1,3.0,West,0
