Marketing_Spend,Price,Sales,Month,Region,Product_Category,Channel
5560.73,110.73,726.33,11,South,Premium,Online
2462.86,37.25,583.35,6,West,Basic,Online
5750.78,38.35,1134.4,1,East,Basic,Online
5079.36,126.37,91.15,6,East,Premium,Retail
4361.59,41.02,959.43,4,North,Basic,Online
2555.81,128.15,55.43,4,North,Premium,Retail
2037.85,117.9,202.32,5,North,Premium,Online
2236.23,45.88,339.85,9,West,Basic,Retail
1788.37,114.31,0.0,1,East,Premium,Retail
3028.54,43.95,303.25,3,East,Basic,Retail
2059.82,34.3,390.96,11,North,Basic,Retail
1660.75,33.64,256.98,4,West,Basic,Retail
898.25,37.72,184.42,2,West,Basic,Retail
4155.44,38.55,857.93,9,North,Basic,Online
5019.97,37.78,1033.98,11,North,Basic,Online
3289.95,117.14,456.53,7,North,Premium,Online
987.12,108.37,124.89,1,South,Premium,Online
1384.74,116.06,54.94,9,South,Premium,Online
3911.13,39.24,902.47,6,South,Basic,Online
5131.02,42.41,1053.32,2,North,Basic,Online
1994.44,43.8,346.06,1,East,Basic,Online
7120.77,35.74,1281.2,6,North,Basic,Online
7197.87,36.37,707.39,7,North,Basic,Retail
3631.18,113.7,504.94,10,South,Premium,Online
4890.59,35.14,574.19,6,South,Basic,Retail
2370.6,31.26,596.33,7,East,Basic,Online
1516.7,42.42,268.75,6,North,Basic,Retail
7066.56,53.12,740.68,8,South,Basic,Retail
1632.32,44.34,240.91,2,East,Basic,Retail
4493.7,44.88,375.52,9,North,Basic,Retail
3762.27,119.86,521.42,9,East,Premium,Online
7464.37,29.94,820.7,11,North,Basic,Retail
3794.12,118.46,214.55,9,North,Premium,Retail
1709.37,43.49,306.43,7,West,Basic,Retail
1962.91,33.62,271.06,9,West,Basic,Retail
3843.71,115.24,425.14,1,West,Premium,Online
1891.35,33.45,333.05,3,South,Basic,Retail
5237.5,36.76,967.72,2,North,Basic,Online
4108.84,114.34,434.28,11,East,Premium,Online
4781.31,47.15,733.6,1,South,Basic,Online
4447.87,40.81,514.59,5,North,Basic,Retail
3403.05,125.26,361.28,1,South,Premium,Online
3078.74,120.89,335.48,3,North,Premium,Online
2783.13,37.96,583.06,6,West,Basic,Online
2018.73,33.83,378.83,6,North,Basic,Retail
5526.11,118.25,237.57,3,East,Premium,Retail
3067.62,37.79,659.45,4,South,Basic,Online
3344.11,37.28,733.58,7,South,Basic,Online
2753.71,39.43,365.02,6,South,Basic,Retail
3301.21,103.32,291.42,11,North,Premium,Retail
1840.02,33.53,239.3,2,West,Basic,Retail
2408.66,110.96,190.16,9,East,Premium,Online
1568.2,42.23,278.98,6,West,Basic,Retail
2862.46,34.51,680.98,2,West,Basic,Online
7082.41,118.63,1006.64,7,East,Premium,Online
2558.37,105.81,319.27,11,West,Premium,Online
5296.63,36.72,1011.43,11,North,Basic,Online
3466.46,38.28,394.59,10,North,Basic,Retail
3919.01,112.24,480.1,10,North,Premium,Online
6878.93,126.09,821.73,4,South,Premium,Online
3879.75,35.76,739.9,1,South,Basic,Online
3371.28,48.68,775.36,10,North,Basic,Online
3260.32,111.04,538.54,9,West,Premium,Online
5470.27,101.14,729.71,11,South,Premium,Online
7156.69,108.8,1023.6,10,North,Premium,Online
2746.22,40.42,457.01,8,South,Basic,Retail
2901.32,43.26,358.4,5,North,Basic,Retail
9094.6,32.63,782.16,3,West,Basic,Retail
3199.46,39.35,640.23,4,North,Basic,Online
2202.02,37.94,339.03,3,West,Basic,Retail
1746.82,29.61,352.77,10,East,Basic,Retail
3510.25,39.48,567.39,8,North,Basic,Retail
2588.3,44.6,490.63,5,North,Basic,Retail
4226.96,112.05,580.09,11,West,Premium,Online
3636.54,111.66,183.88,8,East,Premium,Retail
1281.65,44.21,306.14,1,East,Basic,Online
1730.03,43.12,479.13,9,East,Basic,Online
3842.18,33.57,690.17,11,North,Basic,Online
2443.97,109.17,225.65,10,South,Premium,Online
1680.15,41.66,181.33,3,North,Basic,Retail
1224.85,109.28,40.73,1,West,Premium,Online
6471.24,40.74,1202.04,3,East,Basic,Online
4990.45,37.06,628.0,2,South,Basic,Retail
5808.77,113.43,683.11,7,North,Premium,Online
2273.73,40.59,586.53,10,South,Basic,Online
4690.31,51.52,438.31,4,South,Basic,Retail
2329.5,47.29,358.24,7,East,Basic,Retail
3789.04,39.16,806.59,3,East,Basic,Online
2030.52,41.47,328.1,6,West,Basic,Retail
3779.06,38.67,754.7,7,South,Basic,Online
5143.25,116.18,684.88,7,North,Premium,Online
1588.08,125.49,31.22,5,East,Premium,Online
3253.72,118.99,410.53,6,East,Premium,Online
2853.4,42.63,433.9,3,East,Basic,Retail
1830.86,39.52,399.69,12,East,Basic,Retail
1936.11,38.91,472.54,4,South,Basic,Online
4185.44,30.61,847.45,11,South,Basic,Online
2404.45,35.68,410.75,6,South,Basic,Retail
1880.87,119.14,283.32,3,North,Premium,Online
4187.07,42.14,834.48,7,North,Basic,Online
3254.85,114.0,163.07,3,North,Premium,Retail
6997.45,36.54,708.0,9,East,Basic,Retail
2514.84,37.28,297.15,4,South,Basic,Retail
2974.11,34.59,651.45,2,South,Basic,Online
2549.26,29.72,387.28,6,West,Basic,Retail
5485.78,32.76,1008.72,9,North,Basic,Online
3426.81,117.39,309.62,10,South,Premium,Online
4537.32,120.37,488.56,10,East,Premium,Online
3615.23,114.23,375.66,2,North,Premium,Online
4935.69,41.42,1067.47,4,North,Basic,Online
3877.49,118.06,415.0,5,North,Premium,Online
1735.78,121.01,241.53,9,North,Premium,Online
2545.04,48.24,375.64,7,West,Basic,Retail
2496.8,113.29,131.72,5,West,Premium,Online
4803.77,36.84,920.23,6,East,Basic,Online
3002.95,33.17,656.32,9,West,Basic,Online
5101.74,46.6,868.49,4,West,Basic,Online
3201.11,37.82,440.82,2,North,Basic,Retail
3466.35,40.36,570.57,5,West,Basic,Online
1937.82,43.24,337.41,7,South,Basic,Retail
3788.86,116.98,460.26,12,West,Premium,Online
2545.34,110.31,365.43,4,West,Premium,Online
1207.72,117.22,0.0,12,South,Premium,Retail
1482.05,30.25,369.83,1,North,Basic,Retail
5720.25,33.61,1226.45,8,North,Basic,Online
3248.77,38.89,454.25,5,South,Basic,Retail
2150.52,117.5,239.04,10,West,Premium,Online
1784.09,47.61,239.45,2,West,Basic,Retail
1606.91,40.24,330.17,3,North,Basic,Retail
4774.68,112.62,208.52,12,South,Premium,Retail
1682.14,40.95,303.1,10,South,Basic,Retail
3196.28,42.04,675.72,12,North,Basic,Online
4226.63,116.41,130.47,10,North,Premium,Retail
4631.89,31.16,1020.38,5,South,Basic,Online
3266.21,35.62,779.51,11,West,Basic,Online
2976.2,39.62,527.49,4,South,Basic,Online
3658.0,38.32,749.46,9,South,Basic,Online
2119.61,48.2,226.95,9,East,Basic,Retail
3573.95,121.75,472.17,8,South,Premium,Online
2566.76,29.88,603.7,2,West,Basic,Online
3819.34,115.14,435.54,5,West,Premium,Online
7817.07,41.64,1399.86,8,North,Basic,Online
5122.62,42.1,659.17,8,South,Basic,Retail
5905.55,123.01,730.22,7,South,Premium,Online
1634.79,127.55,0.0,4,North,Premium,Retail
4787.12,42.01,519.6,3,North,Basic,Retail
2374.74,123.05,0.0,8,East,Premium,Retail
1676.43,32.45,483.17,8,South,Basic,Online
1826.24,36.59,230.36,10,North,Basic,Retail
3138.57,114.89,408.52,5,North,Premium,Online
917.06,32.9,189.68,3,West,Basic,Retail
4506.1,42.92,860.15,5,North,Basic,Online
4756.53,39.81,966.31,4,North,Basic,Online
3147.38,48.19,638.14,8,South,Basic,Online
1357.31,43.27,95.23,2,West,Basic,Retail
6259.34,36.63,1241.11,11,North,Basic,Online
2596.98,46.85,565.02,8,East,Basic,Online
1502.34,35.67,402.03,10,East,Basic,Online
3283.76,30.91,545.68,6,North,Basic,Retail
2579.44,44.7,271.67,4,East,Basic,Retail
4304.39,37.03,905.16,11,South,Basic,Online
3600.76,119.33,97.93,3,East,Premium,Retail
4648.95,115.25,562.2,10,East,Premium,Online
1675.48,114.04,105.86,5,South,Premium,Online
1350.82,39.96,355.88,6,North,Basic,Retail
3447.92,40.23,718.21,1,West,Basic,Online
3026.2,42.63,515.37,1,South,Basic,Online
3362.13,99.29,557.81,11,North,Premium,Online
3064.48,44.64,637.48,10,North,Basic,Online
2138.14,116.63,88.9,3,East,Premium,Online
6776.7,117.91,856.35,2,East,Premium,Online
1671.24,33.39,478.52,12,North,Basic,Online
3580.26,41.47,771.01,1,South,Basic,Online
