Salary,Years_Experience,Age,Performance_Score,Education_Level,Department,Region,Job_Level,Gender
69181.0,3.0,22.0,3.5,Bachelor,Sales,East,Junior,Male
88466.0,5.0,23.0,2.8,bachelor,FINANCE,West,Junior,Female
76112.0,11.0,29.0,1.6,Master,HR,West,Mid,Female
,15.0,37.0,,Bachelor,Marketing,South,Senior,Male
,6.0,28.0,4.5,Bachelor,Engineering,North,Mid,Female
81246.0,4.0,21.0,2.8,Bachelor,Engineering,West,Junior,Male
71494.0,4.0,23.0,2.4,Bachelor,Engineering,South,Junior,Male
78189.0,3.0,21.0,3.5,Master,Finance,East,Junior,
67204.0,0.0,21.0,3.5,Master,Marketing,East,Junior,Female
59776.0,4.0,24.0,,Bachelor,HR,East,Junior,Female
142848.0,15.0,38.0,,Bachelor,Engineering,East,Senior,Female
87951.0,5.0,,,Bachelor,Finance,South,Mid,Female
98609.0,5.0,29.0,2.5,PhD,HR,North,Mid,Female
65677.0,3.0,21.0,2.3,Bachelor,,South,Junior,Female
86875.0,0.0,21.0,2.8,PhD,Engineering,North,Junior,Male
103015.0,6.0,27.0,2.2,,Engineering,East,Mid,Male
122927.0,13.0,39.0,2.4,Master,Sales,West,Senior,Male
95068.0,5.0,34.0,4.1,Master,Marketing,West,Mid,Male
113666.0,14.0,38.0,3.0,Bachelor,Sales,West,Senior,Female
139327.0,12.0,34.0,4.5,Master,Engineering,North,Senior,Male
68961.0,4.0,21.0,4.8,Bachelor,Marketing,East,Junior,Male
82630.0,0.0,21.0,4.7,Master,Engineering,South,Junior,Male
,7.0,28.0,2.0,Bachelor,Engineering,West,Mid,Female
84442.0,5.0,33.0,2.9,Master,Sales,North,Mid,Male
73897.0,5.0,27.0,3.1,Bachelor,Sales,West,Junior,Male
94383.0,7.0,29.0,4.4,PhD,HR, South,Mid,Male
94097.0,2.0,30.0,,Bachelor,Engineering,East,Mid,
125149.0,16.0,35.0,2.0,Master,Marketing,South,Senior,Female
58251.0,0.0,21.0,3.2,Bachelor,Marketing,East,Junior,Female
81687.0,3.0,29.0,1.2,Bachelor,Engineering,East,Junior,Male
91859.0,8.0,23.0,4.3,Master,Marketing,East,Mid,Male
127976.0,9.0,24.0,3.3,PhD,Engineering,West,Mid,Female
99735.0,7.0,35.0,3.6,Bachelor,Engineering,South,Mid,
143265.0,16.0,38.0,1.8,PhD,Finance,West,Senior,Female
129375.0,15.0,34.0,3.2,Master,Finance,South,Senior,Female
92925.0,,32.0,3.1,Master,HR,North,Mid,Male
67181.0,4.0,26.0,3.5,Bachelor,Sales,North,Junior,Female
80313.0,4.0,26.0,4.4,Bachelor,Engineering,South,Mid,Male
97759.0,6.0,28.0,4.1,PhD,Marketing,South,Mid,Female
112109.0,13.0,40.0,3.2,Bachelor,Sales,South,Senior,Male
134558.0,16.0,35.0,4.6,Master,Engineering,South,Senior,Female
77780.0,5.0,30.0,2.4,Bachelor,Sales,East,Mid,Male
98059.0,6.0,34.0,3.0,Bachelor,Engineering,West,Mid,Female
88774.0,2.0,,3.6,Master,Finance,East,Junior,Female
92289.0,4.0,22.0,2.8,Master,Engineering,West,Junior,Male
70745.0,0.0,24.0,2.4,Master,Marketing,West,Junior,Male
50371.0,1.0,21.0,1.4,Bachelor,Sales,West,Junior,Female
79476.0,4.0,28.0,3.5,Bachelor,Marketing,East,Mid,Male
60751.0,0.0,27.0,1.8,Bachelor,Marketing,South,Junior,Male
99300.0,7.0,27.0,1.6,Bachelor,Engineering,East,Mid,Female
101697.0,7.0,25.0,1.7,PhD,Finance,East,Mid,
97597.0,7.0,,3.8,Master,HR,West,Mid,Female
94596.0,10.0,31.0,1.6,Bachelor,Finance,North,Mid,Male
95191.0,0.0,23.0,4.9,PhD,Finance,North,Junior,Female
135867.0,19.0,37.0,4.0,Bachelor,Marketing,East,Senior,Female
